ID,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_product,prior_purchases,product_importance,gender,discount_percentage,weight_in_grams,reached_on_time,customer_rating_string,weight_in_kg_binned,prior_purchases_binned,user_segmentation
9791,C,Ship,3,2,2641410,3,medium,M,4,4812,No,Dissatisfied,4-6kg,2-4,Bronze
9792,E,Ship,3,1,4076250,3,medium,F,6,5832,Yes,Dissatisfied,4-6kg,2-4,Bronze
9793,D,Ship,4,2,3994725,3,medium,M,1,4731,No,Dissatisfied,4-6kg,2-4,Bronze
9794,E,Ship,3,4,3684930,3,low,F,7,4411,No,Satisfied,4-6kg,2-4,Bronze
9795,A,Ship,5,1,3684930,2,medium,M,6,5395,Yes,Dissatisfied,4-6kg,2-4,Bronze
9796,B,Ship,5,4,3619710,2,high,M,8,4996,No,Satisfied,4-6kg,2-4,Bronze
9797,C,Ship,4,1,2885985,2,low,M,2,5911,Yes,Dissatisfied,4-6kg,2-4,Bronze
9798,E,Ship,4,4,3636015,3,high,F,5,5654,Yes,Satisfied,4-6kg,2-4,Bronze
9799,D,Ship,5,5,3424050,6,low,M,3,5051,Yes,Satisfied,4-6kg,4-6,Silver
9800,E,Ship,4,2,2771850,2,low,M,3,4299,Yes,Dissatisfied,4-6kg,2-4,Bronze
9801,A,Ship,5,5,2201175,4,low,M,8,5029,Yes,Satisfied,4-6kg,2-4,Bronze
9802,B,Ship,3,5,3130560,4,medium,F,7,4741,No,Satisfied,4-6kg,2-4,Bronze
9803,C,Ship,4,2,3326220,3,medium,F,3,4001,Yes,Dissatisfied,4-6kg,2-4,Bronze
9804,E,Ship,3,4,3978420,3,medium,M,4,4458,Yes,Satisfied,4-6kg,2-4,Bronze
9805,D,Ship,3,2,4157775,4,low,F,8,5511,Yes,Dissatisfied,4-6kg,2-4,Bronze
9806,E,Ship,4,5,2608800,2,medium,F,8,5234,Yes,Satisfied,4-6kg,2-4,Bronze
9807,A,Ship,4,1,2445750,2,low,M,5,4133,Yes,Dissatisfied,4-6kg,2-4,Bronze
9808,B,Ship,4,2,3945810,6,medium,F,10,5655,No,Dissatisfied,4-6kg,4-6,Silver
9809,C,Ship,4,5,3913200,6,medium,F,9,5498,No,Satisfied,4-6kg,4-6,Silver
9810,E,Ship,2,4,4011030,2,low,M,10,5337,No,Satisfied,4-6kg,2-4,Bronze
9811,D,Ship,3,1,3782760,2,low,F,3,4562,No,Dissatisfied,4-6kg,2-4,Bronze
9812,E,Ship,4,3,4467570,3,low,F,5,4409,Yes,Neutral,4-6kg,2-4,Bronze
9813,A,Ship,4,3,4125165,3,low,F,5,5703,Yes,Neutral,4-6kg,2-4,Bronze
9814,B,Ship,5,1,3733845,4,medium,M,1,4584,No,Dissatisfied,4-6kg,2-4,Bronze
9815,C,Ship,4,4,2135955,3,medium,F,10,4625,Yes,Satisfied,4-6kg,2-4,Bronze
9816,E,Ship,4,3,2038125,3,low,F,10,5883,Yes,Neutral,4-6kg,2-4,Bronze
9817,D,Ship,3,3,3277305,3,low,F,2,5540,No,Neutral,4-6kg,2-4,Bronze
9818,E,Ship,4,4,3375135,3,medium,F,1,4019,Yes,Satisfied,4-6kg,2-4,Bronze
9819,A,Ship,3,1,2347920,2,medium,M,8,5378,No,Dissatisfied,4-6kg,2-4,Bronze
9820,B,Ship,3,5,1777245,4,medium,F,4,4308,Yes,Satisfied,4-6kg,2-4,Bronze
9821,C,Ship,4,2,2625105,2,high,F,8,5654,No,Dissatisfied,4-6kg,2-4,Bronze
9822,E,Ship,4,2,2462055,3,medium,M,3,5154,No,Dissatisfied,4-6kg,2-4,Bronze
9823,D,Ship,3,3,2429445,4,low,F,2,5282,Yes,Neutral,4-6kg,2-4,Bronze
9824,E,Ship,5,5,3896895,3,low,M,5,4122,Yes,Satisfied,4-6kg,2-4,Bronze
9825,A,Ship,4,3,4679535,5,medium,M,6,4376,No,Neutral,4-6kg,4-6,Silver
9826,B,Ship,3,3,2152260,2,medium,F,8,5810,No,Neutral,4-6kg,2-4,Bronze
9827,C,Ship,5,2,2690325,5,medium,M,9,5313,Yes,Dissatisfied,4-6kg,4-6,Silver
9828,E,Ship,5,4,2331615,2,low,M,1,5872,No,Satisfied,4-6kg,2-4,Bronze
9829,D,Ship,4,4,4271910,3,medium,M,2,5429,Yes,Satisfied,4-6kg,2-4,Bronze
9830,E,Ship,5,3,3277305,6,low,F,3,4025,No,Neutral,4-6kg,4-6,Silver
9831,A,Ship,4,3,3472965,4,medium,M,8,4220,Yes,Neutral,4-6kg,2-4,Bronze
9832,B,Ship,2,3,4386045,2,low,M,3,5976,Yes,Neutral,4-6kg,2-4,Bronze
9833,C,Ship,6,5,3538185,4,low,F,2,4073,Yes,Satisfied,4-6kg,2-4,Bronze
9834,E,Ship,4,3,2168565,2,low,F,10,4195,Yes,Neutral,4-6kg,2-4,Bronze
9835,D,Ship,3,4,4043640,3,medium,M,7,5299,Yes,Satisfied,4-6kg,2-4,Bronze
9836,E,Ship,4,3,3978420,3,low,M,9,5339,Yes,Neutral,4-6kg,2-4,Bronze
9837,A,Ship,4,1,3212085,3,high,M,9,4917,Yes,Dissatisfied,4-6kg,2-4,Bronze
9838,B,Road,5,5,4369740,4,low,F,9,4208,Yes,Satisfied,4-6kg,2-4,Bronze
9839,C,Road,5,5,3309915,4,low,M,6,4557,No,Satisfied,4-6kg,2-4,Bronze
9840,E,Road,4,4,3652320,2,low,F,3,4817,Yes,Satisfied,4-6kg,2-4,Bronze
9841,D,Road,3,4,3456660,3,low,M,6,5935,No,Satisfied,4-6kg,2-4,Bronze
9842,E,Road,5,4,3391440,6,medium,M,8,5098,Yes,Satisfied,4-6kg,4-6,Silver
9843,A,Road,4,5,2527275,3,medium,M,3,5939,No,Satisfied,4-6kg,2-4,Bronze
9844,B,Road,5,4,4239300,3,low,M,8,4535,Yes,Satisfied,4-6kg,2-4,Bronze
9845,C,Road,2,2,2837070,3,low,F,3,5348,Yes,Dissatisfied,4-6kg,2-4,Bronze
9846,E,Road,4,1,2625105,3,medium,M,3,4590,Yes,Dissatisfied,4-6kg,2-4,Bronze
9847,D,Road,5,5,4011030,3,medium,F,7,5167,Yes,Satisfied,4-6kg,2-4,Bronze
9848,E,Road,5,1,2820765,4,medium,F,2,4615,Yes,Dissatisfied,4-6kg,2-4,Bronze
9849,A,Road,3,2,2853375,2,low,M,9,4859,Yes,Dissatisfied,4-6kg,2-4,Bronze
9850,B,Road,5,1,3962115,3,medium,F,10,4037,Yes,Dissatisfied,4-6kg,2-4,Bronze
9851,C,Road,3,2,1989210,4,low,F,9,5299,No,Dissatisfied,4-6kg,2-4,Bronze
9852,E,Road,4,2,3570795,2,low,F,1,5071,No,Dissatisfied,4-6kg,2-4,Bronze
9853,D,Road,3,2,3538185,3,high,M,7,5910,Yes,Dissatisfied,4-6kg,2-4,Bronze
9854,E,Road,4,3,4076250,6,medium,M,2,4246,Yes,Neutral,4-6kg,4-6,Silver
9855,A,Road,3,3,4467570,3,low,F,5,5981,No,Neutral,4-6kg,2-4,Bronze
9856,B,Road,2,2,4239300,3,medium,F,6,4747,Yes,Dissatisfied,4-6kg,2-4,Bronze
9857,C,Road,4,4,3016425,2,medium,F,1,4729,Yes,Satisfied,4-6kg,2-4,Bronze
9858,E,Road,4,5,4402350,3,low,M,1,4131,Yes,Satisfied,4-6kg,2-4,Bronze
9859,D,Road,6,3,2706630,5,medium,F,3,4596,No,Neutral,4-6kg,4-6,Silver
9860,E,Flight,4,4,2608800,4,low,M,1,5520,No,Satisfied,4-6kg,2-4,Bronze
9861,A,Flight,3,2,4027335,3,low,M,3,4338,Yes,Dissatisfied,4-6kg,2-4,Bronze
9862,B,Flight,4,2,4434960,2,low,M,1,5703,No,Dissatisfied,4-6kg,2-4,Bronze
9863,C,Flight,4,5,2788155,2,medium,F,1,4439,Yes,Satisfied,4-6kg,2-4,Bronze
9864,E,Flight,5,2,3440355,3,medium,F,8,4962,Yes,Dissatisfied,4-6kg,2-4,Bronze
9865,D,Flight,3,4,4418655,3,medium,M,1,4444,No,Satisfied,4-6kg,2-4,Bronze
9866,E,Flight,6,4,2527275,5,medium,F,8,5982,Yes,Satisfied,4-6kg,4-6,Silver
9867,A,Flight,4,1,3587100,3,medium,F,7,4552,No,Dissatisfied,4-6kg,2-4,Bronze
9868,B,Flight,3,3,3587100,3,low,F,10,5234,No,Neutral,4-6kg,2-4,Bronze
9869,C,Flight,2,4,4646925,3,high,M,6,4427,No,Satisfied,4-6kg,2-4,Bronze
9870,E,Flight,3,1,1777245,6,low,F,5,4374,No,Dissatisfied,4-6kg,4-6,Silver
9871,D,Flight,3,4,3163170,3,medium,M,7,4565,Yes,Satisfied,4-6kg,2-4,Bronze
9872,E,Flight,3,3,3489270,2,medium,F,9,4185,Yes,Neutral,4-6kg,2-4,Bronze
9873,A,Flight,3,5,2625105,3,low,F,4,5629,Yes,Satisfied,4-6kg,2-4,Bronze
9874,B,Flight,3,5,3293610,4,medium,F,7,4458,Yes,Satisfied,4-6kg,2-4,Bronze
9875,C,Flight,3,3,2918595,8,high,F,3,5429,No,Neutral,4-6kg,6-10,Gold
9876,E,Flight,5,1,2233785,5,low,F,8,4584,Yes,Dissatisfied,4-6kg,4-6,Silver
9877,D,Flight,6,1,2820765,3,medium,F,2,4892,Yes,Dissatisfied,4-6kg,2-4,Bronze
9878,E,Flight,3,4,3962115,3,medium,M,6,4950,Yes,Satisfied,4-6kg,2-4,Bronze
9879,A,Flight,4,2,4206690,5,medium,M,2,1494,Yes,Dissatisfied,1-2.5kg,4-6,Silver
9880,B,Flight,6,3,3994725,4,low,F,3,1982,No,Neutral,1-2.5kg,2-4,Bronze
9881,C,Flight,6,3,4826280,4,low,F,4,1650,Yes,Neutral,1-2.5kg,2-4,Bronze
9882,E,Ship,5,4,4353435,5,low,M,9,1113,Yes,Satisfied,1-2.5kg,4-6,Silver
9883,D,Ship,6,5,4369740,4,medium,F,1,1248,No,Satisfied,1-2.5kg,2-4,Bronze
9884,E,Ship,7,4,4516485,5,low,M,4,1373,Yes,Satisfied,1-2.5kg,4-6,Silver
9885,A,Ship,6,1,4222995,4,low,F,4,1198,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9886,B,Ship,5,1,4483875,5,low,M,6,1156,No,Dissatisfied,1-2.5kg,4-6,Silver
9887,C,Ship,6,3,4858890,4,low,F,9,1515,No,Neutral,1-2.5kg,2-4,Bronze
9888,E,Ship,5,2,3962115,5,medium,F,4,1385,Yes,Dissatisfied,1-2.5kg,4-6,Silver
9889,D,Ship,7,2,4157775,4,medium,F,10,1372,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9890,E,Ship,4,5,3782760,5,low,F,3,1817,Yes,Satisfied,1-2.5kg,4-6,Silver
9891,A,Ship,3,4,4027335,3,low,F,4,5844,Yes,Satisfied,4-6kg,2-4,Bronze
9892,B,Ship,4,4,4434960,2,low,M,1,4013,No,Satisfied,4-6kg,2-4,Bronze
9893,C,Ship,4,1,2788155,2,medium,F,10,4536,Yes,Dissatisfied,4-6kg,2-4,Bronze
9894,E,Ship,5,5,3440355,3,medium,F,7,5983,No,Satisfied,4-6kg,2-4,Bronze
9895,D,Ship,3,1,4418655,3,medium,M,1,5486,No,Dissatisfied,4-6kg,2-4,Bronze
9896,E,Ship,6,1,2527275,5,medium,F,8,4882,Yes,Dissatisfied,4-6kg,4-6,Silver
9897,A,Ship,4,5,3587100,3,medium,F,1,4912,No,Satisfied,4-6kg,2-4,Bronze
9898,B,Ship,3,5,3587100,3,low,F,5,4407,Yes,Satisfied,4-6kg,2-4,Bronze
9899,C,Ship,2,1,4646925,3,high,F,7,4999,Yes,Dissatisfied,4-6kg,2-4,Bronze
9900,E,Ship,3,1,1777245,6,low,F,6,5457,No,Dissatisfied,4-6kg,4-6,Silver
9901,D,Ship,3,2,3163170,3,medium,F,7,4727,No,Dissatisfied,4-6kg,2-4,Bronze
9902,E,Ship,3,5,3489270,2,medium,F,6,4578,Yes,Satisfied,4-6kg,2-4,Bronze
9903,A,Ship,3,5,2625105,3,low,F,10,5663,No,Satisfied,4-6kg,2-4,Bronze
9904,B,Ship,3,3,3293610,4,medium,M,10,5137,No,Neutral,4-6kg,2-4,Bronze
9905,C,Ship,3,2,2918595,8,high,M,3,4584,Yes,Dissatisfied,4-6kg,6-10,Gold
9906,E,Ship,5,1,2233785,5,low,M,4,4586,No,Dissatisfied,4-6kg,4-6,Silver
9907,D,Ship,6,2,2820765,3,medium,F,4,5970,Yes,Dissatisfied,4-6kg,2-4,Bronze
9908,E,Ship,3,1,3962115,3,medium,M,6,5371,Yes,Dissatisfied,4-6kg,2-4,Bronze
9909,A,Ship,4,5,4206690,5,medium,M,2,1481,Yes,Satisfied,1-2.5kg,4-6,Silver
9910,B,Ship,6,2,3994725,4,low,F,9,1594,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9911,C,Ship,6,4,4826280,4,low,M,4,1973,Yes,Satisfied,1-2.5kg,2-4,Bronze
9912,E,Ship,5,5,4353435,5,low,F,1,1352,No,Satisfied,1-2.5kg,4-6,Silver
9913,D,Ship,6,1,4369740,4,medium,M,10,1958,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9914,E,Ship,7,2,4516485,5,low,F,7,1260,No,Dissatisfied,1-2.5kg,4-6,Silver
9915,A,Ship,6,2,4222995,4,low,F,10,2000,No,Dissatisfied,1-2.5kg,2-4,Bronze
9916,B,Ship,5,3,4483875,5,low,F,2,1816,Yes,Neutral,1-2.5kg,4-6,Silver
9917,C,Ship,6,2,4858890,4,low,M,2,1648,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9918,E,Ship,5,5,3962115,5,medium,M,2,1817,Yes,Satisfied,1-2.5kg,4-6,Silver
9919,D,Ship,6,5,4565400,4,low,F,3,1819,No,Satisfied,1-2.5kg,2-4,Bronze
9920,E,Ship,6,3,4516485,4,medium,M,6,1623,No,Neutral,1-2.5kg,2-4,Bronze
9921,A,Ship,6,4,4630620,4,low,F,7,1518,No,Satisfied,1-2.5kg,2-4,Bronze
9922,B,Ship,4,1,4206690,5,low,M,8,1306,Yes,Dissatisfied,1-2.5kg,4-6,Silver
9923,C,Ship,7,1,4141470,4,low,F,5,1865,No,Dissatisfied,1-2.5kg,2-4,Bronze
9924,E,Ship,5,4,4288215,5,medium,M,8,1548,Yes,Satisfied,1-2.5kg,4-6,Silver
9925,D,Ship,6,2,4353435,4,low,M,10,1580,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9926,E,Ship,6,3,4027335,4,medium,M,7,1626,No,Neutral,1-2.5kg,2-4,Bronze
9927,A,Ship,5,1,3799065,5,medium,F,6,1631,No,Dissatisfied,1-2.5kg,4-6,Silver
9928,B,Ship,7,2,4141470,4,medium,F,9,1788,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9929,C,Ship,6,1,4712145,5,medium,M,7,1223,Yes,Dissatisfied,1-2.5kg,4-6,Silver
9930,E,Ship,6,2,4598010,4,medium,M,6,1674,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9931,D,Ship,5,3,3962115,6,medium,M,10,1729,No,Neutral,1-2.5kg,4-6,Silver
9932,E,Ship,5,3,3962115,5,medium,M,8,1223,No,Neutral,1-2.5kg,4-6,Silver
9933,A,Ship,4,2,3717540,5,low,F,3,1473,No,Dissatisfied,1-2.5kg,4-6,Silver
9934,B,Ship,5,5,3831675,5,low,M,4,1758,Yes,Satisfied,1-2.5kg,4-6,Silver
9935,C,Ship,4,4,4467570,6,low,M,10,1355,No,Satisfied,1-2.5kg,4-6,Silver
9936,E,Ship,6,4,4141470,5,medium,F,10,1435,Yes,Satisfied,1-2.5kg,4-6,Silver
9937,D,Ship,4,5,4092555,6,low,F,1,1625,Yes,Satisfied,1-2.5kg,4-6,Silver
9938,E,Ship,7,1,5054550,4,medium,F,8,1601,No,Dissatisfied,1-2.5kg,2-4,Bronze
9939,A,Ship,7,3,4695840,4,medium,M,3,1989,Yes,Neutral,1-2.5kg,2-4,Bronze
9940,B,Ship,4,3,3554490,5,medium,F,9,1024,Yes,Neutral,1-2.5kg,4-6,Silver
9941,C,Ship,5,5,4092555,5,medium,F,10,1683,Yes,Satisfied,1-2.5kg,4-6,Silver
9942,E,Ship,5,3,4288215,5,medium,F,6,1192,Yes,Neutral,1-2.5kg,4-6,Silver
9943,D,Ship,4,4,4337130,6,low,F,2,1776,No,Satisfied,1-2.5kg,4-6,Silver
9944,E,Ship,6,2,5005635,4,low,F,9,1674,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9945,A,Ship,7,5,4369740,4,medium,F,9,1754,No,Satisfied,1-2.5kg,2-4,Bronze
9946,B,Ship,6,5,2559885,5,low,F,10,1133,Yes,Satisfied,1-2.5kg,4-6,Silver
9947,C,Ship,7,3,4271910,4,low,F,1,1384,No,Neutral,1-2.5kg,2-4,Bronze
9948,E,Ship,4,2,3994725,5,medium,M,10,1668,No,Dissatisfied,1-2.5kg,4-6,Silver
9949,D,Ship,5,5,3538185,6,medium,M,5,1616,Yes,Satisfied,1-2.5kg,4-6,Silver
9950,E,Ship,6,3,4222995,4,high,F,7,1208,Yes,Neutral,1-2.5kg,2-4,Bronze
9951,A,Ship,5,2,3880590,5,low,F,4,1962,Yes,Dissatisfied,1-2.5kg,4-6,Silver
9952,B,Ship,6,4,4695840,4,medium,F,9,1575,Yes,Satisfied,1-2.5kg,2-4,Bronze
9953,C,Ship,7,4,4630620,4,low,M,3,1751,No,Satisfied,1-2.5kg,2-4,Bronze
9954,E,Ship,4,4,3962115,5,medium,M,2,1842,Yes,Satisfied,1-2.5kg,4-6,Silver
9955,D,Ship,6,2,4239300,4,low,F,8,1522,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9956,E,Ship,4,3,4304520,5,low,F,2,1541,Yes,Neutral,1-2.5kg,4-6,Silver
9957,A,Ship,5,2,4386045,5,medium,F,10,1113,No,Dissatisfied,1-2.5kg,4-6,Silver
9958,B,Ship,7,4,4598010,4,low,M,6,1800,Yes,Satisfied,1-2.5kg,2-4,Bronze
9959,C,Ship,5,2,4076250,6,low,M,1,1296,No,Dissatisfied,1-2.5kg,4-6,Silver
9960,E,Ship,5,5,3750150,5,low,F,8,1067,Yes,Satisfied,1-2.5kg,4-6,Silver
9961,D,Ship,6,5,4141470,4,high,F,10,1217,Yes,Satisfied,1-2.5kg,2-4,Bronze
9962,E,Ship,5,4,4174080,5,low,M,2,1723,No,Satisfied,1-2.5kg,4-6,Silver
9963,A,Ship,4,2,4157775,5,low,F,7,1378,Yes,Dissatisfied,1-2.5kg,4-6,Silver
9964,B,Ship,7,3,4989330,4,low,M,2,1790,No,Neutral,1-2.5kg,2-4,Bronze
9965,C,Ship,6,2,3081645,2,low,F,2,1837,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
9966,E,Ship,6,3,4565400,4,low,M,2,1753,Yes,Neutral,1-2.5kg,2-4,Bronze
9967,D,Ship,6,5,5054550,4,medium,F,10,1553,Yes,Satisfied,1-2.5kg,2-4,Bronze
9968,E,Ship,5,4,4337130,2,medium,M,1,5494,Yes,Satisfied,4-6kg,2-4,Bronze
9969,A,Ship,3,3,3195780,3,low,M,4,5622,Yes,Neutral,4-6kg,2-4,Bronze
9970,B,Ship,3,2,3228390,5,medium,F,6,5443,Yes,Dissatisfied,4-6kg,4-6,Silver
9971,C,Ship,5,5,2657715,2,high,M,6,5253,No,Satisfied,4-6kg,2-4,Bronze
9972,E,Ship,3,3,2233785,3,low,F,8,4742,Yes,Neutral,4-6kg,2-4,Bronze
9973,D,Ship,3,1,2722935,2,low,F,8,4171,No,Dissatisfied,4-6kg,2-4,Bronze
9974,E,Ship,3,5,1875075,2,low,M,10,4200,Yes,Satisfied,4-6kg,2-4,Bronze
9975,A,Road,5,2,3130560,2,low,M,5,4046,Yes,Dissatisfied,4-6kg,2-4,Bronze
9976,B,Road,4,2,3880590,5,medium,M,9,4618,Yes,Dissatisfied,4-6kg,4-6,Silver
9977,C,Road,4,2,2315310,3,low,M,2,4790,No,Dissatisfied,4-6kg,2-4,Bronze
9978,E,Road,3,2,4174080,2,low,F,7,5725,No,Dissatisfied,4-6kg,2-4,Bronze
9979,D,Road,4,1,3391440,3,medium,F,7,4592,Yes,Dissatisfied,4-6kg,2-4,Bronze
9980,E,Road,3,2,4190385,2,medium,M,8,4242,No,Dissatisfied,4-6kg,2-4,Bronze
9981,A,Road,4,3,3701235,3,medium,M,8,5829,No,Neutral,4-6kg,2-4,Bronze
9982,B,Road,4,2,3570795,4,low,M,8,5660,Yes,Dissatisfied,4-6kg,2-4,Bronze
9983,C,Road,5,3,3293610,2,low,F,9,5645,No,Neutral,4-6kg,2-4,Bronze
9984,E,Road,4,2,2576190,3,medium,F,9,4078,No,Dissatisfied,4-6kg,2-4,Bronze
9985,D,Road,6,3,3831675,3,low,F,7,4829,No,Neutral,4-6kg,2-4,Bronze
9986,E,Road,4,4,3799065,3,low,M,9,4300,No,Satisfied,4-6kg,2-4,Bronze
9987,A,Road,4,5,3978420,3,medium,M,3,5857,No,Satisfied,4-6kg,2-4,Bronze
9988,B,Road,3,5,3978420,5,medium,F,10,4163,Yes,Satisfied,4-6kg,4-6,Silver
9989,C,Road,3,5,2413140,3,low,M,4,5919,Yes,Satisfied,4-6kg,2-4,Bronze
9990,E,Road,5,5,2788155,2,high,M,8,4602,Yes,Satisfied,4-6kg,2-4,Bronze
9991,D,Road,5,2,3212085,5,low,F,4,4196,No,Dissatisfied,4-6kg,4-6,Silver
9992,E,Road,3,1,4174080,3,low,F,5,5643,Yes,Dissatisfied,4-6kg,2-4,Bronze
9993,A,Road,6,3,3636015,2,medium,M,7,5007,Yes,Neutral,4-6kg,2-4,Bronze
9994,B,Road,5,2,4418655,4,low,F,4,4066,Yes,Dissatisfied,4-6kg,2-4,Bronze
9995,C,Road,2,1,2201175,4,medium,F,8,5001,No,Dissatisfied,4-6kg,2-4,Bronze
9996,E,Road,6,4,4434960,2,low,M,7,4145,Yes,Satisfied,4-6kg,2-4,Bronze
9997,D,Flight,3,1,4320825,3,medium,F,10,4244,Yes,Dissatisfied,4-6kg,2-4,Bronze
9998,E,Flight,5,5,2934900,2,high,M,5,4585,No,Satisfied,4-6kg,2-4,Bronze
9999,A,Flight,5,3,3049035,3,low,M,2,5967,Yes,Neutral,4-6kg,2-4,Bronze
10000,B,Flight,3,3,2576190,3,low,M,1,5502,Yes,Neutral,4-6kg,2-4,Bronze
10001,C,Flight,4,1,3815370,2,medium,F,4,5164,Yes,Dissatisfied,4-6kg,2-4,Bronze
10002,E,Flight,6,4,3652320,5,medium,M,10,5602,Yes,Satisfied,4-6kg,4-6,Silver
10003,D,Flight,4,4,2494665,3,medium,M,3,4422,No,Satisfied,4-6kg,2-4,Bronze
10004,E,Flight,3,5,2038125,2,low,F,2,4182,No,Satisfied,4-6kg,2-4,Bronze
10005,A,Flight,4,1,3326220,3,medium,M,3,4310,Yes,Dissatisfied,4-6kg,2-4,Bronze
10006,B,Flight,3,1,3244695,3,high,M,3,5127,Yes,Dissatisfied,4-6kg,2-4,Bronze
10007,C,Flight,3,4,3521880,3,low,F,3,5149,Yes,Satisfied,4-6kg,2-4,Bronze
10008,E,Flight,4,3,2983815,3,low,F,6,5712,No,Neutral,4-6kg,2-4,Bronze
10009,D,Flight,4,3,2217480,3,medium,F,4,5769,No,Neutral,4-6kg,2-4,Bronze
10010,E,Flight,4,1,4386045,3,low,F,3,4409,No,Dissatisfied,4-6kg,2-4,Bronze
10011,A,Flight,5,5,1712025,4,low,M,6,5135,No,Satisfied,4-6kg,2-4,Bronze
10012,B,Flight,4,2,4125165,2,low,F,4,4502,No,Dissatisfied,4-6kg,2-4,Bronze
10013,C,Flight,3,1,4288215,3,medium,M,4,4616,Yes,Dissatisfied,4-6kg,2-4,Bronze
10014,E,Flight,4,1,4337130,3,low,M,10,4382,Yes,Dissatisfied,4-6kg,2-4,Bronze
10015,D,Flight,3,3,3016425,2,low,M,4,4746,Yes,Neutral,4-6kg,2-4,Bronze
10016,E,Flight,3,4,3994725,2,medium,F,1,4427,Yes,Satisfied,4-6kg,2-4,Bronze
10017,A,Flight,3,5,3000120,3,medium,F,9,4969,Yes,Satisfied,4-6kg,2-4,Bronze
10018,B,Flight,5,4,3831675,3,medium,F,8,4636,Yes,Satisfied,4-6kg,2-4,Bronze
10019,C,Ship,3,2,4027335,3,medium,M,8,5194,Yes,Dissatisfied,4-6kg,2-4,Bronze
10020,E,Ship,4,4,2364225,2,medium,M,9,5070,Yes,Satisfied,4-6kg,2-4,Bronze
10021,D,Ship,3,3,2576190,2,low,F,4,5960,Yes,Neutral,4-6kg,2-4,Bronze
10022,E,Ship,4,5,4369740,2,low,M,2,4721,No,Satisfied,4-6kg,2-4,Bronze
10023,A,Ship,3,1,3032730,3,medium,F,4,5515,No,Dissatisfied,4-6kg,2-4,Bronze
10024,B,Ship,2,3,3684930,3,medium,M,8,5106,No,Neutral,4-6kg,2-4,Bronze
10025,C,Ship,5,1,4206690,3,medium,M,7,4466,No,Dissatisfied,4-6kg,2-4,Bronze
10026,E,Ship,3,4,3081645,3,high,M,2,5464,Yes,Satisfied,4-6kg,2-4,Bronze
10027,D,Ship,5,3,4157775,4,medium,F,4,4178,No,Neutral,4-6kg,2-4,Bronze
10028,E,Ship,5,5,3375135,4,low,F,1,5035,Yes,Satisfied,4-6kg,2-4,Bronze
10029,A,Ship,3,5,4418655,3,low,M,2,5229,No,Satisfied,4-6kg,2-4,Bronze
10030,B,Ship,3,4,3896895,4,medium,F,10,5455,No,Satisfied,4-6kg,2-4,Bronze
10031,C,Ship,4,4,3032730,3,low,F,8,4969,No,Satisfied,4-6kg,2-4,Bronze
10032,E,Ship,4,1,2266395,3,medium,F,7,4275,Yes,Dissatisfied,4-6kg,2-4,Bronze
10033,D,Ship,3,3,3652320,6,medium,M,10,4221,Yes,Neutral,4-6kg,4-6,Silver
10034,E,Ship,4,2,3228390,2,high,M,2,5662,Yes,Dissatisfied,4-6kg,2-4,Bronze
10035,A,Ship,4,4,1663110,3,high,F,9,5644,No,Satisfied,4-6kg,2-4,Bronze
10036,B,Ship,3,3,3570795,3,high,M,5,4321,Yes,Neutral,4-6kg,2-4,Bronze
10037,C,Ship,4,5,3913200,5,medium,M,8,4314,Yes,Satisfied,4-6kg,4-6,Silver
10038,E,Ship,3,2,3619710,2,medium,M,1,4021,No,Dissatisfied,4-6kg,2-4,Bronze
10039,D,Ship,2,2,3603405,2,medium,F,3,4500,No,Dissatisfied,4-6kg,2-4,Bronze
10040,E,Ship,5,3,3733845,2,medium,F,1,5294,No,Neutral,4-6kg,2-4,Bronze
10041,A,Ship,5,2,2380530,3,low,F,5,4725,Yes,Dissatisfied,4-6kg,2-4,Bronze
10042,B,Ship,3,3,2690325,2,low,M,1,5661,Yes,Neutral,4-6kg,2-4,Bronze
10043,C,Ship,4,4,3261000,3,low,F,7,5807,No,Satisfied,4-6kg,2-4,Bronze
10044,E,Ship,4,2,3782760,2,low,M,5,4907,Yes,Dissatisfied,4-6kg,2-4,Bronze
10045,D,Ship,5,5,3913200,2,low,F,2,5655,Yes,Satisfied,4-6kg,2-4,Bronze
10046,E,Ship,5,4,3913200,4,medium,M,7,4552,No,Satisfied,4-6kg,2-4,Bronze
10047,A,Ship,3,2,3049035,3,medium,F,7,5334,Yes,Dissatisfied,4-6kg,2-4,Bronze
10048,B,Ship,5,4,3896895,3,low,F,7,4960,Yes,Satisfied,4-6kg,2-4,Bronze
10049,C,Ship,3,1,2788155,4,medium,F,6,5398,Yes,Dissatisfied,4-6kg,2-4,Bronze
10050,E,Ship,4,2,3896895,4,medium,M,8,4039,Yes,Dissatisfied,4-6kg,2-4,Bronze
